date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:50	191513/191513	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Feb%202025%2021:15:12%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/3/c/csm_Stadion_Dienst_3_3dcaf4d232.jpg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/3/c/csm_Stadion_Dienst_3_3dcaf4d232.jpg	(from https://www.drk-aspach.de/)
20:49:50	90132/90132	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Feb%202025%2021:15:13%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/b/9/csm_WhatsApp_Image_2019-03-23_at_13.53.22_Bearbeitet_d2405431d8.jpg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/b/9/csm_WhatsApp_Image_2019-03-23_at_13.53.22_Bearbeitet_d2405431d8.jpg	(from https://www.drk-aspach.de/)
20:49:51	94014/94014	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Feb%202025%2020:58:23%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/a/0/csm_WhatsApp_Image_2019-04-13_at_21.31.54_946b634a18.jpeg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/a/0/csm_WhatsApp_Image_2019-04-13_at_21.31.54_946b634a18.jpg	(from https://www.drk-aspach.de/)
20:49:51	53628/53628	---M-Z	200	added ('OK')	text/html	etag:%2269275b331a68408bdc13a16fb7926bc9-gzip%22	https://www.drk-aspach.de/kurse/erste-hilfe/angebote/bevoelkerungsschutz-und-rettung/sanitaetsdienst.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/kurse/erste-hilfe/angebote/bevoelkerungsschutz-und-rettung/sanitaetsdienst.html	(from https://www.drk-aspach.de/)
20:49:51	130555/130555	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Feb%202025%2021:25:03%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/7/f/csm_WhatsApp_Image_2019-03-03_at_16.36.06_227dcd5ca4.jpeg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/7/f/csm_WhatsApp_Image_2019-03-03_at_16.36.06_227dcd5ca4.jpg	(from https://www.drk-aspach.de/)
20:49:51	762356/762356	---MCZ	200	added ('OK')	text/html	etag:%228f5e34d123b579229fea19f7fd6ef46b-gzip%22	https://www.drk-aspach.de/kurse/erste-hilfe/angebote/engagement/jugendrotkreuz.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/kurse/erste-hilfe/angebote/engagement/jugendrotkreuz.html	(from https://www.drk-aspach.de/)
20:49:51	56800/56800	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Feb%202025%2021:25:03%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/6/b/csm_freizeit-header-alt_2444b47eda.jpg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/6/b/csm_freizeit-header-alt_2444b47eda.jpg	(from https://www.drk-aspach.de/)
20:49:52	44127/44127	---M-Z	200	added ('OK')	text/html	etag:%225cc8659474c6511bf2b852361ffe8bce-gzip%22	https://www.drk-aspach.de/kurse/erste-hilfe.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/kurse/erste-hilfe.html	(from https://www.drk-aspach.de/)
20:49:52	51728/51728	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Feb%202025%2021:25:03%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/5/4/csm_WhatsApp_Image_2019-04-11_at_12.45.21_04ade466f0.jpeg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/5/4/csm_WhatsApp_Image_2019-04-11_at_12.45.21_04ade466f0.jpg	(from https://www.drk-aspach.de/)
20:49:52	59208/59208	---M-Z	200	added ('OK')	text/html	etag:%22a4653aba4c9f1a1f8c22d0ead13bd02d-gzip%22	https://www.drk-aspach.de/kurse/erste-hilfe/angebote/engagement/blutspende.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/kurse/erste-hilfe/angebote/engagement/blutspende.html	(from https://www.drk-aspach.de/)
20:49:52	178386/178386	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Feb%202025%2021:25:03%20GMT	https://www.drk-aspach.de/fileadmin/_processed_/5/2/csm_WhatsApp_Image_2019-02-13_at_18.50.06_32b11b492f.jpeg	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/fileadmin/_processed_/5/2/csm_WhatsApp_Image_2019-02-13_at_18.50.06_32b11b492f.jpg	(from https://www.drk-aspach.de/)
20:49:53	1071/1071	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/SocialMedia/facebook.svg?923b73028065b33744d3d76765a261ec	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/SocialMedia/facebookc0e2.svg	(from https://www.drk-aspach.de/)
20:49:53	3186/3186	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/SocialMedia/instagram.svg?29596a78988e9fec839b0bc4afb7da43	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Icons/SocialMedia/instagram3398.svg	(from https://www.drk-aspach.de/)
20:49:53	30248/30248	---M-Z	200	added ('OK')	text/html	etag:%22181ef4811bc4fbef95c48f7423da2517-gzip%22	https://www.drk-aspach.de/spenden/geldspenden.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/spenden/geldspenden.html	(from https://www.drk-aspach.de/)
20:49:53	32908/32908	---M-Z	200	added ('OK')	text/html	etag:%223a9d293c0edcb64abf5d1aedcc0f7c92-gzip%22	https://www.drk-aspach.de/spenden/interesse-an-einer-mitgliedschaft/mitglied-werden.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/spenden/interesse-an-einer-mitgliedschaft/mitglied-werden.html	(from https://www.drk-aspach.de/)
20:49:54	64085/64085	---M-Z	200	added ('OK')	text/html	etag:%22b61b5fe50157d39fa904ccd3b7362bd6-gzip%22	https://www.drk-aspach.de/kurse/erste-hilfe/angebote/engagement/ehrenamt.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/kurse/erste-hilfe/angebote/engagement/ehrenamt.html	(from https://www.drk-aspach.de/)
20:49:54	48968/48968	---M-Z	200	added ('OK')	text/html	etag:%22565a0d91c5c8f687254b8d5e026f572b-gzip%22	https://www.drk-aspach.de/kurse/erste-hilfe/angebote.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/kurse/erste-hilfe/angebote.html	(from https://www.drk-aspach.de/)
20:49:54	31389/31389	---M-Z	200	added ('OK')	text/html	etag:%225dbed3d7b9204b6fc9b27c25d41bfc9d-gzip%22	https://www.drk-aspach.de/aktuell/presse-service/meldungen.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/aktuell/presse-service/meldungen.html	(from https://www.drk-aspach.de/)
20:49:54	46235/46235	---M-Z	200	added ('OK')	text/html	etag:%22f7016edc566d185ec1f7e53253d2cb3d-gzip%22	https://www.drk-aspach.de/footer-menue-deutsch/informieren/leistungen-von-a-z.html	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/footer-menue-deutsch/informieren/leistungen-von-a-z.html	(from https://www.drk-aspach.de/)
20:49:54	90243/90243	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20May%202026%2017:41:14%20GMT	https://www.drk-aspach.de/typo3temp/assets/compressed/merged-46b536984141f9e91094fabd2329794c-dfb14d396d8ebf4ee1ca80bbe374825c.js?1779990074	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/typo3temp/assets/compressed/merged-46b536984141f9e91094fabd2329794c-dfb14d396d8ebf4ee1ca80bbe374825c68e8.js	(from https://www.drk-aspach.de/)
20:49:55	779681/779681	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2028%20May%202026%2017:41:14%20GMT	https://www.drk-aspach.de/typo3temp/assets/compressed/merged-b2dc068bc4a012180f6edca9bc9609bf-7e34db4b1d7545daca82d788b0bf262f.js?1779990074	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/typo3temp/assets/compressed/merged-b2dc068bc4a012180f6edca9bc9609bf-7e34db4b1d7545daca82d788b0bf262f68e8.js	(from https://www.drk-aspach.de/)
20:49:55	31738/31738	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/JavaScriptTinySlider/tiny-slider.js?1764743946	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/JavaScriptTinySlider/tiny-slider0856.js	(from https://www.drk-aspach.de/)
20:49:56	56064/56064	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-300.woff2	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-300.woff2	(from https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/StyleSheets/stylesheet.min.css?1764743946)
20:49:56	59244/59244	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-300italic.woff2	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-300italic.woff2	(from https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/StyleSheets/stylesheet.min.css?1764743946)
20:49:56	56272/56272	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-regular.woff2	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-regular.woff2	(from https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/StyleSheets/stylesheet.min.css?1764743946)
20:49:56	59328/59328	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-italic.woff2	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-italic.woff2	(from https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/StyleSheets/stylesheet.min.css?1764743946)
20:49:56	56488/56488	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Dec%202025%2006:39:06%20GMT	https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-500.woff2	D:/projects/alte_website/DRK-Aspach/www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/Fonts/OpenSans/open-sans-v40-cyrillic_greek_latin_math-500.woff2	(from https://www.drk-aspach.de/_assets/e2ef477b7510a2835782732fd483c6bc/StyleSheets/stylesheet.min.css?1764743946)
